RMA                 Product  Serial Number   Failure Code         City           Delivery Document  Failures
T2014031315036      02-09    T49401223       Optical Problem      Los Angeles    B20140317076978    1
T2014031315413      02-02    J12360883       Optical Problem      Los Angeles    B20140317078645    1
T2014031315761      01-02    L38412989       Optical Problem      New York       B20140320080296    1
T2014031315895      01-02    C53951223       Optical Problem      New York       B20140327080885    1
T2014031316196      01-02    T67607605       Optical Problem      Atlanta        B20140318082238    1
T2014031316198      01-02    H92908868       Optical Problem      New York       B20140314082250    1
T2014031316609      01-02    T5373PART       No Problem Found     Atlanta        B20140314084033    1
T2014031317293      01-09    B84401867       No Problem Found     Atlanta        B20140314087222    1
T2014031317359      04-09    Q97510499       No Problem Found     New York       B20140314087523    1
T2014031317623      01-09    A23837092       No Problem Found     New York       B20140314088673    1
T2014031317699      02-01    J39435666       No Problem Found     New York       B20140317089014    1
T2014031319316      02-09    N43654349       No Problem Found     Chicago        B20140314096350    1
T2014031319684      04-01    D50770412       No Problem Found     New York       B20140314098004    1
T2014031319707      01-09    Q82154522       No Problem Found     New York       B20140314098115    1
T2014031320218      01-02    Q57372561       No Problem Found     Atlanta        B20140317100391    1
T2014031320560      01-02    M92008477       No Problem Found     Atlanta        B20140314101952    1
T2014031320753      02-01    B90778185       No Problem Found     New York       B20140314102815    1
T2014031320793      01-01    L80006242       No Problem Found     New York       B20140314103029    1
T2014031321512      02-02    F25866284       No Problem Found     New York       B20140314106227    1
T2014031321882      04-01    A99520416       No Problem Found     Atlanta        B20140317107924    1
T2014031321942      01-02    K16797416       No Problem Found     New York       B20140314108200    1
T2014031322619      01-01    F85169538       No Problem Found     Atlanta        B20140314111287    1
T2014031322956      01-02    Q44282440       No Problem Found     Chicago        B20140314112782    1
T2014031322978      02-09    T26394069       No Problem Found     New York       B20140314112871    1
T2014031323080      02-09    P99518016       No Problem Found     New York       B20140314113327    1
T2014031323275      01-02    Q70355639       No Problem Found     New York       B20140314114232    1
T2014031323968      01-09    Q63782725       No Problem Found     Atlanta        B20140317117285    1
T2014031324321      04-01    D68334124       No Problem Found     New York       B20140314118865    1
T2014031324942      01-09    S18432106       No Problem Found     Atlanta        B20140314121616    1
T2014031325847      01-02    Q58425517       No Problem Found     New York       B20140314125686    1
T2014031326076      01-02    Q48744645       No Problem Found     New York       B20140317126691    1
T2014031326518      02-09    N22273403       No Problem Found     Atlanta        B20140314128733    1
T2014031326579      01-09    F64173814       No Problem Found     Los Angeles    B20140317128987    1
T2014031326812      02-09    B66316089       No Problem Found     New York       B20140314130027    1
T2014031327222      01-02    T12570293       No Problem Found     New York       B20140314131872    1
T2014031327535      02-09    J93161071       No Problem Found     Los Angeles    B20140317133168    1
T2014031327537      01-09    D36986457       No Problem Found     New York       B20140314133174    1
T2014031327572      02-09    P82498009       No Problem Found     New York       B20140317133333    1
T2014031327977      02-09    B77007363       No Problem Found     New York       B20140314135057    1
T2014031328632      02-09    Q23635489       No Problem Found     New York       B20140314138072    1
T2014031328940      01-02    P60865330       No Problem Found     Los Angeles    B20140314139472    1
T2014031330516      01-02    H97546731       No Problem Found     Los Angeles    B20140317146540    1
T2014031331653      01-09    L91808001       No Problem Found     New York       B20140317151605    1
T2014031332297      04-09    M44112834       No Problem Found     Chicago        B20140314154486    1
T2014031332600      01-02    F42761254       No Problem Found     New York       B20140314155897    1
T2014031332792      01-09    Q37488450       No Problem Found     Atlanta        B20140314156754    1
T2014031333066      02-09    L47321868       No Problem Found     Los Angeles    B20140314158044    1
T2014031333099      04-09    Q20323675       No Problem Found     New York       B20140317158206    1
T2014031333347      01-02    Q84475472       No Problem Found     Los Angeles    B20140314159328    1
T2014031333888      01-09    H81045063       No Problem Found     Atlanta        B20140314161716    1
T2014031334025      04-01    B44800302       No Problem Found     Los Angeles    B20140314162357    1
T2014031334479      02-01    D12507068       No Problem Found     Los Angeles    B20140314164388    1
T2014031335467      04-09    A26020486       No Problem Found     New York       B20140314168779    1
T2014031336376      02-01    N11000062       No Problem Found     Atlanta        B20140317172929    1
T2014031337621      02-09    L53541099       No Problem Found     New York       B20140314178607    1
T2014031337876      02-09    M32960210       No Problem Found     Los Angeles    B20140314179756    1
T2014031338364      03-09    Q22740583       Mechanical Problem   New York       B20140317182009    1
T2014031338365      03-09    T82752247       Mechanical Problem   New York       B20140314182015    1
T2014031338655      02-09    T73861579       Mechanical Problem   New York       B20140314183268    1
T2014031338785      02-09    D84261565       Mechanical Problem   Los Angeles    B20140325183845    1
T2014031339064      02-09    A44264356       Mechanical Problem   Los Angeles    B20140319185073    1
T2014031339185      02-09    P78665041       Mechanical Problem   New York       B20140326185542    1
T2014031340085      04-02    Q59790099       Mechanical Problem   New York       B20140314189563    1
T2014031340230      04-01    A31481134       Mechanical Problem   Los Angeles    B20140325190200    1
T2014031340855      02-01    D30083846       Mechanical Problem   New York       B20140318193036    1
T2014031341060      01-09    Q90600361       Mechanical Problem   New York       B20140320193918    1
T2014031341362      01-09    L24135301       Mechanical Problem   Chicago        B20140318195269    1
T2014031341560      01-09    J53704479       Mechanical Problem   New York       B20140318196133    1
T2014031342043      01-02    M58627422       Mechanical Problem   New York       B20140320198280    1
T2014031342044      01-02    L34933114       Mechanical Problem   Los Angeles    B20140314198288    1
T2014031342211      01-02    A10559838       Mechanical Problem   Los Angeles    B20140314198979    1
T2014031342536      01-02    T89650503       Mechanical Problem   Los Angeles    B20140319200495    1
T2014031345022      02-09    F16140905       Electrical Problem   New York       B20140318211685    1
T2014031345292      02-09    Q84681685       Electrical Problem   New York       B20140319212878    1
T2014031345718      02-09    N51800186       Electrical Problem   New York       B20140327214733    1
T2014031346938      04-09    Q39395801       Electrical Problem   New York       B20140314220233    1
T2014031347247      04-09    S39913705       Electrical Problem   Los Angeles    B20140319221588    1
T2014031347248      04-09    P93703709       Electrical Problem   New York       B20140326221596    1
T2014031348270      03-02    F35594409       Electrical Problem   Los Angeles    B20140317226187    1
T2014031349207      01-09    K17981342       Electrical Problem   Los Angeles    B20140325230455    1
T2014031349208      01-09    M55131411       Electrical Problem   Atlanta        B20140321230462    1
T2014031349366      01-09    B58600610       Electrical Problem   Atlanta        B20140318231149    1
T2014031349612      01-09    K92092376       Electrical Problem   New York       B20140324232268    1
T2014031350011      01-09    Q67453963       Electrical Problem   Chicago        B20140317234059    1
T2014031350761      01-02    L59487941       Electrical Problem   New York       B20140319237395    1
T2014031350762      01-02    D39319263       Electrical Problem   Los Angeles    B20140314237403    1
T2014031352393      01-02    H18400580       Electrical Problem   Los Angeles    B20140319244746    1
T2014031353488      01-02    G25248474       Electrical Problem   New York       B20140318249684    1
T2014031353490      01-02    A54536148       Electrical Problem   Atlanta        B20140324249696    1
T2014031354189      01-01    E53606668       Electrical Problem   Los Angeles    B20140320252788    1
T2014031400771      02-09    B86830880       Software Problem     New York       B20140321012657    1
T2014031401585      02-09    N39377129       Software Problem     Chicago        B20140320016312    1
T2014031402130      04-09    B10436125       Software Problem     Atlanta        B20140319018838    1
T2014031402527      04-02    B22702870       Software Problem     New York       B20140318020601    1
T2014031402689      04-01    F22031362       Software Problem     Los Angeles    B20140317021385    1
T2014031402690      04-01    Q74740900       Software Problem     Chicago        B20140318021392    1
T2014031402921      04-01    Q65310433       Software Problem     Chicago        B20140319022421    1
T2014031403784      01-09    Q95417604       Software Problem     Los Angeles    B20140318026379    1
T2014031404409      01-09    C94305191       Software Problem     Los Angeles    B20140319029152    1
T2014031404410      01-09    L65386189       Software Problem     New York       B20140321029156    1
T2014031405160      01-02    E68857938       Software Problem     New York       B20140317032498    1
T2014031405724      01-02    S92232495       Software Problem     New York       B20140320034998    1
T2014031405725      01-02    B10160603       Software Problem     Atlanta        B20140328035000    1
T2014031405727      01-02    S11128934       Software Problem     New York       B20140324035008    1
T2014031405728      01-02    Q92063152       Software Problem     New York       B20140326035011    1
T2014031407199      01-02    A63087943       Software Problem     Los Angeles    B20140317041697    1
T2014031408574      01-02    Q47147651       No Problem Found     Los Angeles    B20140314047854    1
T2014031410059      04-01    G61901326       No Problem Found     Atlanta        B20140317054589    1
T2014031410477      01-02    Q30173807       No Problem Found     Chicago        B20140317056474    1
T2014031410956      01-09    Q78806761       No Problem Found     New York       B20140317058613    1
T2014031411055      01-02    N81703446       No Problem Found     Chicago        B20140318059066    1
T2014031411288      03-09    Q11510110       No Problem Found     Atlanta        B20140317060136    1
T2014031411653      04-02    R95651615       No Problem Found     Los Angeles    B20140317061818    1
T2014031412891      02-09    N97581038       No Problem Found     Atlanta        B20140318067380    1
T2014031413005      02-09    Q38960304       No Problem Found     New York       B20140317067868    1
T2014031413222      01-02    A23690040       No Problem Found     Chicago        B20140317068865    1
T2014031413225      01-02    C71540877       No Problem Found     Los Angeles    B20140317068884    1
T2014031413416      01-01    T25044972       No Problem Found     New York       B20140317069778    1
T2014031413630      04-02    F21480848       No Problem Found     Los Angeles    B20140317070736    1
T2014031414883      02-09    T59022091       Optical Problem      Chicago        B20140318076241    1
T2014031415269      04-01    F51241234       Optical Problem      Atlanta        B20140327078012    1
T2014031415398      02-03    A40173504       Optical Problem      Los Angeles    B20140320078568    1
T2014031415632      01-09    Q70378858       Optical Problem      New York       B20140320079625    1
T2014031416336      01-01    J50310306       Optical Problem      Los Angeles    B20140326082844    1
T2014031416413      04-09    T87991177       No Problem Found     New York       B20140317083172    1
T2014031416619      01-09    J86757081       No Problem Found     New York       B20140317084078    1
T2014031416669      03-02    S11694485       No Problem Found     Atlanta        B20140317084302    1
T2014031417098      01-02    G10053230       No Problem Found     New York       B20140317086332    1
T2014031417458      01-02    Q93396080       No Problem Found     Atlanta        B20140317087950    1
T2014031417594      01-09    B13524755       No Problem Found     Atlanta        B20140317088533    1
T2014031418037      01-09    D30066753       No Problem Found     New York       B20140318090522    1
T2014031418705      01-02    E97932702       No Problem Found     New York       B20140318093534    1
T2014031418914      01-02    R32892708       No Problem Found     New York       B20140318094477    1
T2014031418963      04-01    J69012324       No Problem Found     Chicago        B20140317094719    1
T2014031419059      04-01    B41202241       No Problem Found     Los Angeles    B20140317095130    1
T2014031419729      01-02    Q12544746       No Problem Found     Los Angeles    B20140317098217    1
T2014031419757      01-01    N64375567       No Problem Found     Chicago        B20140317098327    1
T2014031419884      02-09    M76779513       No Problem Found     New York       B20140317098884    1
T2014031419964      02-09    N89901007       No Problem Found     Los Angeles    B20140317099215    1
T2014031420243      01-09    J23845557       No Problem Found     New York       B20140317100496    1
T2014031421774      01-09    E42832825       No Problem Found     Los Angeles    B20140318107387    1
T2014031422057      01-01    G77939222       No Problem Found     Los Angeles    B20140318108734    1
T2014031423577      01-02    F55084322       No Problem Found     New York       B20140318115579    1
T2014031424394      04-09    R42130049       No Problem Found     Los Angeles    B20140317119202    1
T2014031424660      01-02    E52380938       No Problem Found     New York       B20140318120396    1
T2014031425741      01-01    J48184365       No Problem Found     Atlanta        B20140317125231    1
T2014031425772      01-02    L75520199       No Problem Found     New York       B20140317125372    1
T2014031425963      01-01    S82609405       No Problem Found     Los Angeles    B20140317126199    1
T2014031428181      01-02    B94184234       No Problem Found     Atlanta        B20140317135990    1
T2014031429172      01-02    E18178351       No Problem Found     New York       B20140318140534    1
T2014031431964      01-09    T27002568       No Problem Found     New York       B20140318152989    1
T2014031432142      01-02    N96874998       No Problem Found     New York       B20140317153776    1
T2014031433080      02-09    Q92353506       No Problem Found     Los Angeles    B20140317158108    1
T2014031433723      01-02    Q32205966       No Problem Found     Atlanta        B20140318161018    1
T2014031434424      04-09    Q66221255       No Problem Found     Atlanta        B20140318164152    1
T2014031434943      01-02    S22435920       No Problem Found     Atlanta        B20140317166459    1
T2014031435769      03-09    Q68210017       No Problem Found     New York       B20140317170148    1
T2014031436797      04-01    F95001211       No Problem Found     New York       B20140318174853    1
T2014031437466      02-09    Q40397884       No Problem Found     New York       B20140317177908    1
T2014031438034      01-09    T35063335       No Problem Found     New York       B20140317180454    1
T2014031438261      01-02    Q59874486       No Problem Found     Atlanta        B20140317181484    1
T2014031438366      03-09    M28390147       Mechanical Problem   Los Angeles    B20140319182018    1
T2014031439991      04-09    M17890140       Mechanical Problem   Atlanta        B20140319189122    1
T2014031440649      02-03    F23767211       Mechanical Problem   Atlanta        B20140327192095    1
T2014031441561      01-09    R63704750       Mechanical Problem   Chicago        B20140320196141    1
T2014031441562      01-09    R10734776       Mechanical Problem   New York       B20140319196147    1
T2014031442537      01-02    P56586175       Mechanical Problem   Los Angeles    B20140319200496    1
T2014031443586      01-02    C77941003       Mechanical Problem   New York       B20140328205232    1
T2014031445293      02-09    L58657491       Electrical Problem   New York       B20140318212879    1
T2014031445957      02-09    R34090431       Electrical Problem   Los Angeles    B20140319215762    1
T2014031446367      02-09    Q16372192       Electrical Problem   Los Angeles    B20140320217603    1
T2014031446498      02-09    B90651488       Electrical Problem   Los Angeles    B20140325218212    1
T2014031446551      02-09    A60579204       Electrical Problem   Chicago        B20140325218494    1
T2014031447510      04-02    F98751398       Electrical Problem   Atlanta        B20140320222705    1
T2014031447741      04-01    F21461917       Electrical Problem   Los Angeles    B20140318223762    1
T2014031447742      04-01    Q36421452       Electrical Problem   New York       B20140318223770    1
T2014031449209      01-09    H2311G111       Electrical Problem   New York       B20140318230466    1
T2014031450012      01-09    M30155326       Electrical Problem   New York       B20140318234066    1
T2014031450014      01-09    C53984427       Electrical Problem   New York       B20140317234080    1
T2014031451636      01-02    A47340648       Electrical Problem   Los Angeles    B20140324241350    1
T2014031452125      01-02    H69334326       Electrical Problem   Chicago        B20140319243524    1
T2014031452396      01-02    E49070919       Electrical Problem   Atlanta        B20140318244754    1
T2014031452397      01-02    J73741938       Electrical Problem   Chicago        B20140325244759    1
T2014031500083      03-09    N98690728       Software Problem     Chicago        B20140317009568    1
T2014031500361      02-09    E51091154       Software Problem     New York       B20140321010839    1
T2014031500362      02-09    R20379100       Software Problem     Los Angeles    B20140319010847    1
T2014031500773      02-09    B30441968       Software Problem     Atlanta        B20140318012669    1
T2014031502321      04-09    N61570064       Software Problem     Los Angeles    B20140320019731    1
T2014031502691      04-01    G65090257       Software Problem     New York       B20140326021400    1
T2014031503510      02-01    B57440248       Software Problem     New York       B20140320025116    1
T2014031503926      01-09    D73738301       Software Problem     Atlanta        B20140327026983    1
T2014031503927      01-09    A62141198       Software Problem     Atlanta        B20140319026984    1
T2014031504412      01-09    Q10864081       Software Problem     Los Angeles    B20140319029163    1
T2014031504413      01-09    T62017918       Software Problem     Atlanta        B20140318029164    1
T2014031504414      01-09    F30901411       Software Problem     Atlanta        B20140318029169    1
T2014031504416      01-09    K20807287       Software Problem     New York       B20140320029182    1
T2014031504418      01-09    E90997682       Software Problem     New York       B20140318029196    1
T2014031505460      01-02    Q69938509       Software Problem     Atlanta        B20140320033834    1
T2014031505562      01-02    Q55268171       Software Problem     New York       B20140320034274    1
T2014031505729      01-02    J84635488       Software Problem     New York       B20140320035016    1
T2014031505730      01-02    R50283066       Software Problem     New York       B20140325035023    1
T2014031506338      01-02    A89871068       Software Problem     Los Angeles    B20140324037812    1
T2014031507200      01-02    A69450194       Software Problem     New York       B20140320041705    1
T2014031507593      01-01    B68333320       Software Problem     Los Angeles    B20140317043411    1
T2014031507725      01-01    A90780209       Software Problem     Atlanta        B20140317044002    1
T2014031507921      01-01    F15846512       Software Problem     Chicago        B20140318044903    1
T2014031508397      02-09    H12100701       No Problem Found     Atlanta        B20140315047053    1
T2014031508941      01-02    J61918867       No Problem Found     Atlanta        B20140318049560    1
T2014031509174      01-09    F98306981       No Problem Found     Chicago        B20140317050642    1
T2014031510158      01-02    F81000171       No Problem Found     Los Angeles    B20140317055012    1
T2014031510584      01-02    Q99416168       No Problem Found     Chicago        B20140317056937    1
T2014031510890      01-02    Q19973627       No Problem Found     Chicago        B20140317058312    1
T2014031511254      04-02    L22494792       No Problem Found     Los Angeles    B20140317059967    1
T2014031512038      01-09    S76727520       No Problem Found     Los Angeles    B20140317063549    1
T2014031512310      01-01    H94217481       No Problem Found     Atlanta        B20140318064804    1
T2014031512389      01-02    K73307578       No Problem Found     Atlanta        B20140317065128    1
T2014031512599      01-01    M53371887       No Problem Found     Atlanta        B20140317066136    1
T2014031512658      01-09    G22721915       No Problem Found     New York       B20140317066379    1
T2014031512830      04-02    P20336106       No Problem Found     Los Angeles    B20140317067132    1
T2014031513144      02-09    H41665145       No Problem Found     Atlanta        B20140317068519    1
T2014031513376      04-01    Q71500576       No Problem Found     Los Angeles    B20140317069586    1
T2014031513412      02-09    Q14583262       No Problem Found     Los Angeles    B20140317069762    1
T2014031513526      01-01    M86779820       No Problem Found     New York       B20140317070287    1
T2014031513969      02-09    K78190166       No Problem Found     Los Angeles    B20140317072160    1
T2014031513992      02-03    P43138287       No Problem Found     Atlanta        B20140317072250    1
T2014031514025      02-09    L44943804       No Problem Found     Los Angeles    B20140317072411    1
T2014031514229      01-02    P93134767       No Problem Found     New York       B20140317073257    1
T2014031514551      04-01    Q42982512       No Problem Found     Chicago        B20140317074762    1
T2014031514661      02-09    P66120228       No Problem Found     New York       B20140318075255    1
T2014031514689      01-09    Q33354748       No Problem Found     New York       B20140317075349    1
T2014031514884      02-09    Q60501910       Optical Problem      New York       B20140317076246    1
T2014031515633      01-09    Q29819667       Optical Problem      New York       B20140326079628    1
T2014031515634      01-09    R91414072       Optical Problem      New York       B20140318079636    1
T2014031515896      01-02    T68188285       Optical Problem      Los Angeles    B20140324080892    1
T2014031516199      01-02    Q90640196       Optical Problem      New York       B20140319082252    1
T2014031517624      01-09    Q43268882       No Problem Found     Los Angeles    B20140317088675    1
T2014031517709      01-02    S57906430       No Problem Found     New York       B20140318089047    1
T2014031517856      01-09    S70337842       No Problem Found     New York       B20140317089647    1
T2014031518647      01-02    D36420707       No Problem Found     Los Angeles    B20140317093263    1
T2014031519105      02-09    P10876431       No Problem Found     New York       B20140317095322    1
T2014031519370      01-01    D28356047       No Problem Found     Los Angeles    B20140317096579    1
T2014031519449      01-02    A67613548       No Problem Found     Los Angeles    B20140317096928    1
T2014031519853      01-02    F55254698       No Problem Found     Los Angeles    B20140317098735    1
T2014031519916      01-02    D94410190       No Problem Found     New York       B20140317098993    1
T2014031520023      01-01    R21508416       No Problem Found     Los Angeles    B20140318099508    1
T2014031520261      04-02    J18308485       No Problem Found     New York       B20140317100588    1
T2014031520295      02-09    B53340488       No Problem Found     Chicago        B20140317100746    1
T2014031520849      02-09    M24523614       No Problem Found     Los Angeles    B20140318103277    1
T2014031521252      01-02    T95250101       No Problem Found     Los Angeles    B20140317105043    1
T2014031522528      04-01    T20544460       No Problem Found     New York       B20140318110865    1
T2014031522866      01-01    G1026SN18       No Problem Found     Los Angeles    B20140317112391    1
T2014031522920      01-01    M40676410       No Problem Found     Los Angeles    B20140317112620    1
T2014031523342      04-02    K23191760       No Problem Found     Atlanta        B20140317114555    1
T2014031523444      01-02    T75458573       No Problem Found     Atlanta        B20140318115015    1
T2014031523750      02-09    A21118849       No Problem Found     New York       B20140317116324    1
T2014031524873      01-02    R41555217       No Problem Found     New York       B20140317121313    1
T2014031524902      01-09    A54614039       No Problem Found     New York       B20140318121433    1
T2014031524952      04-09    B59140209       No Problem Found     Los Angeles    B20140318121657    1
T2014031525094      01-01    D67837386       No Problem Found     Los Angeles    B20140317122277    1
T2014031525309      02-01    E80548374       No Problem Found     Chicago        B20140317123232    1
T2014031525343      01-09    B11050592       No Problem Found     Los Angeles    B20140317123392    1
T2014031525623      01-01    P55109898       No Problem Found     Los Angeles    B20140317124710    1
T2014031526306      01-09    K16057669       No Problem Found     Los Angeles    B20140317127775    1
T2014031526323      03-02    L67983207       No Problem Found     Atlanta        B20140317127852    1
T2014031526606      01-09    T38030037       No Problem Found     New York       B20140317129100    1
T2014031527218      01-02    T45843000       No Problem Found     New York       B20140318131855    1
T2014031528846      02-09    A98371021       No Problem Found     Los Angeles    B20140317139038    1
T2014031529026      02-09    M27733037       No Problem Found     New York       B20140317139862    1
T2014031530390      02-09    T16325072       No Problem Found     Atlanta        B20140317145969    1
T2014031530455      04-01    K83674247       No Problem Found     New York       B20140317146263    1
T2014031530705      01-02    D60441065       No Problem Found     Los Angeles    B20140318147383    1
T2014031530870      04-01    L35200676       No Problem Found     Los Angeles    B20140317148107    1
T2014031533310      01-09    T50673361       No Problem Found     New York       B20140317159149    1
T2014031533907      01-02    Q12482329       No Problem Found     Atlanta        B20140317161812    1
T2014031534418      02-09    A14006349       No Problem Found     New York       B20140317164130    1
T2014031534739      02-02    Q79742640       No Problem Found     New York       B20140317165541    1
T2014031535781      02-09    B70424175       No Problem Found     Los Angeles    B20140317170194    1
T2014031536098      02-03    F78048326       No Problem Found     New York       B20140317171705    1
T2014031537191      01-09    L42940652       No Problem Found     Chicago        B20140317176675    1
T2014031537709      02-09    E83731210       No Problem Found     Atlanta        B20140317178995    1
T2014031537991      02-09    P10725314       No Problem Found     New York       B20140317180275    1
T2014031538051      02-09    J94648101       No Problem Found     New York       B20140318180529    1
T2014031538696      02-09    T11856140       Mechanical Problem   Los Angeles    B20140319183436    1
T2014031539187      02-09    P46474076       Mechanical Problem   Los Angeles    B20140328185552    1
T2014031539188      02-09    R16939457       Mechanical Problem   Los Angeles    B20140318185557    1
T2014031539527      02-09    G46176738       Mechanical Problem   New York       B20140324187041    1
T2014031539672      02-09    Q99453058       Mechanical Problem   Los Angeles    B20140320187673    1
T2014031540233      04-01    H26630211       Mechanical Problem   New York       B20140324190210    1
T2014031540724      02-02    M84387328       Mechanical Problem   Chicago        B20140319192431    1
T2014031540957      01-09    L72452687       Mechanical Problem   New York       B20140320193445    1
T2014031541002      01-09    T53624415       Mechanical Problem   Los Angeles    B20140325193642    1
T2014031541563      01-09    G58165036       Mechanical Problem   Atlanta        B20140328196148    1
T2014031541564      01-09    F54400722       Mechanical Problem   Atlanta        B20140326196153    1
T2014031541565      01-09    K92867296       Mechanical Problem   Los Angeles    B20140317196155    1
T2014031542141      01-02    F62142757       Mechanical Problem   New York       B20140319198715    1
T2014031542538      01-02    A10912484       Mechanical Problem   Los Angeles    B20140320200500    1
T2014031542956      01-02    T23270044       Mechanical Problem   Atlanta        B20140318202429    1
T2014031542957      01-02    Q77786241       Mechanical Problem   Los Angeles    B20140319202433    1
T2014031542958      01-02    Q22931052       Mechanical Problem   Atlanta        B20140319202437    1
T2014031542959      01-02    D62665336       Mechanical Problem   New York       B20140325202444    1
T2014031542960      01-02    E39738070       Mechanical Problem   New York       B20140321202449    1
T2014031543867      01-01    N89578478       Mechanical Problem   New York       B20140325206464    1
T2014031543868      01-01    T73014050       Mechanical Problem   Chicago        B20140317206465    1
T2014031544214      01-01    S24043481       Mechanical Problem   New York       B20140318208031    1
T2014031544813      02-09    G68906023       Electrical Problem   Atlanta        B20140317210740    1
T2014031545023      02-09    H19174184       Electrical Problem   Los Angeles    B20140319211688    1
T2014031545024      02-09    H23472203       Electrical Problem   Chicago        B20140320211692    1
T2014031545958      02-09    L85724066       Electrical Problem   Chicago        B20140317215770    1
T2014031545959      02-09    P16581403       Electrical Problem   New York       B20140317215776    1
T2014031546319      02-09    M84101152       Electrical Problem   Chicago        B20140318217365    1
T2014031546824      02-09    T37689213       Electrical Problem   Atlanta        B20140326219739    1
T2014031547249      04-09    T84830000       Electrical Problem   Atlanta        B20140318221598    1
T2014031547511      04-02    Q60193044       Electrical Problem   Los Angeles    B20140320222709    1
T2014031548300      03-02    T63852524       Electrical Problem   Los Angeles    B20140317226346    1
T2014031548346      03-02    M13475067       Electrical Problem   Los Angeles    B20140327226551    1
T2014031548463      02-03    S99043199       Electrical Problem   Atlanta        B20140326227072    1
T2014031548535      02-03    N22626373       Electrical Problem   Atlanta        B20140319227397    1
T2014031549210      01-09    B7344G123       Electrical Problem   New York       B20140324230472    1
T2014031550015      01-09    Q80048687       Electrical Problem   New York       B20140319234084    1
T2014031550016      01-09    B41744373       Electrical Problem   Atlanta        B20140319234092    1
T2014031550017      01-09    P83800169       Electrical Problem   Los Angeles    B20140320234096    1
T2014031550019      01-09    T24197302       Electrical Problem   Atlanta        B20140320234103    1
T2014031550020      01-09    G35414189       Electrical Problem   Atlanta        B20140319234110    1
T2014031551637      01-02    F32220706       Electrical Problem   New York       B20140320241357    1
T2014031552399      01-02    G73216417       Electrical Problem   Chicago        B20140317244765    1
T2014031552401      01-02    H28803237       Electrical Problem   Atlanta        B20140320244774    1
T2014031552402      01-02    B11722618       Electrical Problem   Atlanta        B20140328244775    1
T2014031553491      01-02    S20785484       Electrical Problem   New York       B20140319249703    1
T2014031553962      01-01    H88908507       Electrical Problem   New York       B20140318251785    1
T2014031553963      01-01    J93287644       Electrical Problem   New York       B20140325251789    1
T2014031600085      03-09    L83602888       Software Problem     New York       B20140320009577    1
T2014031601265      02-09    E18822201       Software Problem     New York       B20140328014879    1
T2014031601967      02-09    Q70571625       Software Problem     Chicago        B20140319018050    1
T2014031602131      04-09    N19631135       Software Problem     Atlanta        B20140317018839    1
T2014031602467      04-02    C87265697       Software Problem     Los Angeles    B20140319020361    1
T2014031603929      01-09    G84611275       Software Problem     New York       B20140320026991    1
T2014031604419      01-09    M68734280       Software Problem     Los Angeles    B20140319029200    1
T2014031604420      01-09    P68457957       Software Problem     Atlanta        B20140318029207    1
T2014031605500      01-02    C17050102       Software Problem     Chicago        B20140328033988    1
T2014031605732      01-02    R36018452       Software Problem     New York       B20140319035031    1
T2014031605733      01-02    D18326571       Software Problem     New York       B20140318035033    1
T2014031605734      01-02    K83092046       Software Problem     New York       B20140320035041    1
T2014031607201      01-02    K66528432       Software Problem     New York       B20140317041710    1
T2014031607202      01-02    J84592981       Software Problem     New York       B20140319041717    1
T2014031608572      01-02    P66474563       No Problem Found     New York       B20140316047848    1
T2014031610318      01-09    F89188100       No Problem Found     New York       B20140317055729    1
T2014031612382      04-01    M86461562       No Problem Found     Los Angeles    B20140317065100    1
T2014031613293      01-09    N34456423       No Problem Found     Atlanta        B20140317069199    1
T2014031613999      01-02    M48540869       No Problem Found     Los Angeles    B20140317072289    1
T2014031615900      01-02    K95823148       Optical Problem      New York       B20140318080910    1
T2014031616337      01-01    B69355173       Optical Problem      Los Angeles    B20140328082848    1
T2014031616369      01-01    K37688345       Optical Problem      Atlanta        B20140317082995    1
T2014031616558      01-02    B61490836       No Problem Found     Los Angeles    B20140317083818    1
T2014031616902      01-09    Q97191596       No Problem Found     New York       B20140317085413    1
T2014031618277      01-09    Q47196148       No Problem Found     New York       B20140317091607    1
T2014031618606      02-09    Q12527122       No Problem Found     New York       B20140317093084    1
T2014031618797      02-01    G74913442       No Problem Found     New York       B20140317093937    1
T2014031618908      01-02    D81106247       No Problem Found     New York       B20140317094445    1
T2014031619288      02-09    B22913015       No Problem Found     Atlanta        B20140317096226    1
T2014031619536      01-09    D31150941       No Problem Found     Los Angeles    B20140317097324    1
T2014031620092      01-02    H13780171       No Problem Found     New York       B20140317099832    1
T2014031620302      01-02    E43383554       No Problem Found     New York       B20140317100784    1
T2014031620365      01-09    M46134224       No Problem Found     Chicago        B20140317101054    1
T2014031621055      03-02    P37379506       No Problem Found     New York       B20140317104159    1
T2014031621352      01-02    P86255200       No Problem Found     Los Angeles    B20140317105538    1
T2014031621608      04-09    T83419561       No Problem Found     New York       B20140317106638    1
T2014031623083      01-01    A27500223       No Problem Found     Chicago        B20140318113341    1
T2014031623696      01-02    D22005976       No Problem Found     Atlanta        B20140317116085    1
T2014031624118      03-09    L12962838       No Problem Found     Los Angeles    B20140318118002    1
T2014031624648      02-09    L97996028       No Problem Found     Atlanta        B20140317120354    1
T2014031624905      01-02    H72844708       No Problem Found     Atlanta        B20140317121443    1
T2014031625423      01-02    N73263385       No Problem Found     Los Angeles    B20140317123761    1
T2014031625518      04-01    J71880358       No Problem Found     New York       B20140317124226    1
